kepid,kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_duration,koi_depth,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_impact,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec
11807274,"K00262.02","CONFIRMED",9.37663713,3.192e-05,-3.192e-05,2.1033,118.4,1.89,0.1,-0.1,1125.0,379.30,0.828,21.00,6237.00,4.136,1.5430,288.100860,50.033718
9965184,"K02428.01","FALSE POSITIVE",16.2276756,0.0001344,-0.0001344,3.699,525.8,2.11,0.45,-0.3,648.0,41.57,0.633,20.50,5328.00,4.447,0.8830,297.185640,46.825298
9911882,"K02429.01","FALSE POSITIVE",1.595630597,5.088e-06,-5.088e-06,1.793,259.6,17.94,3.66,-1.23,1346.0,778.05,1.21,18.30,5632.00,4.616,0.7290,299.078280,46.786160
3533469,"K02430.01","FALSE POSITIVE",10.21507506,8.238e-05,-8.238e-05,3.395,258.6,1.5,0.17,-0.14,780.0,87.48,0.1,17.40,5406.00,4.433,0.9500,288.106080,38.659061
7047363,"K02432.01","CONFIRMED",31.0572947,0.0002303,-0.0002303,3.401,636.6,1.85,0.34,-0.14,480.0,12.57,0.335,15.80,5395.00,4.615,0.7340,295.624690,42.545898
11968463,"K02433.01","CONFIRMED",15.1622287,0.000124,-0.000124,7.332,479.8,3.12,1.09,-0.36,829.0,111.74,0.959,28.50,6325.00,4.409,1.1120,294.338470,50.336540
9451706,"K00271.01","CONFIRMED",48.6303805,0.0001619,-0.0001619,7.0805,339.8,2.48,0.06,-0.06,590.0,28.60,0.034,53.90,6075.00,4.264,1.3520,285.190000,46.027962
8947520,"K02517.01","CONFIRMED",0.968527683,2.958e-06,-2.958e-06,1.3672,114.6,1.21,0.16,-0.05,1677.0,1867.00,0.941,16.90,5580.00,4.538,0.8860,289.884370,45.211498
5529738,"K02518.01","FALSE POSITIVE",0.759762021,1.668e-06,-1.668e-06,4.912,227,24.2,7.05,-3.02,2280.0,6419.35,1.183,65.30,6386.00,4.402,1.1230,290.536070,40.705849
4047631,"K02519.01","CANDIDATE",4.790912471,7.96e-06,-7.96e-06,0.5134,360.7,2.25,0.07,-0.12,717.0,62.51,0.969,17.60,4359.00,4.601,0.6760,288.903900,39.154209
10059645,"K02520.01","CONFIRMED",6.49441464,3.126e-05,-3.126e-05,2.344,357.3,1.75,0.12,-0.17,732.0,68.05,0.911,17.70,4769.00,4.557,0.7420,284.585780,47.079529
