kepoi_name,koi_disposition,target,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_impact,koi_model_snr,koi_steff,koi_slogg,koi_srad
K02834.01,CONFIRMED,2,136.205112,5.568,1209.3,2.35,248.0,0.89,0.49,20.0,4648.0,4.631,0.675
K02916.01,FALSE POSITIVE,0,0.306937807,0.5925,119.2,0.82,2142.0,5019.53,0.005,29.3,5088.0,4.58,0.741
K00046.01,CONFIRMED,2,3.487688776,3.83661,1298.8,5.64,1445.0,1033.07,0.026,350.6,5576.0,4.065,1.593
K00299.01,CONFIRMED,2,1.541676547,1.9118,296.5,1.88,1592.0,1517.84,0.362,94.1,5533.0,4.337,1.089
K02917.01,FALSE POSITIVE,0,0.730943372,3.004,134.7,1.37,2190.0,5461.14,0.792,27.0,6143.0,4.418,1.067
K02918.01,FALSE POSITIVE,0,0.515552803,1.7869,1224.1,13.96,1807.0,2508.21,1.128,79.6,5068.0,4.556,0.73
K02919.01,CONFIRMED,2,2.522590567,1.406,210.2,25.82,1205.0,499.07,1.261,18.5,5591.0,4.559,0.86
K02920.01,CONFIRMED,2,6.73968289,4.183,142.0,1.48,1011.0,246.9,0.662,15.4,5511.0,4.261,1.176
K03013.01,CANDIDATE,1,3.76562031,1.288,232.6,19.39,1084.0,326.2,1.193,14.6,5743.0,4.553,0.853
K03014.01,CONFIRMED,2,86.1160885,6.058,875.2,3.11,441.0,8.93,0.016,17.8,6161.0,4.454,1.053
K03015.01,CONFIRMED,2,3.61460332,3.227,43.9,0.9,1397.0,900.38,0.026,15.4,5799.0,4.161,1.375
K03016.01,FALSE POSITIVE,0,0.710894157,1.0183,122.6,1.16,2098.0,4599.89,0.134,18.9,5862.0,4.424,1.049
K03017.01,CANDIDATE,1,2.46288834,1.724,47.4,0.67,1391.0,883.43,0.256,11.9,5893.0,4.395,0.967
K00307.02,CONFIRMED,2,5.21104597,3.3447,102.7,1.18,1107.0,354.82,0.833,36.9,6023.0,4.423,1.031
K03018.01,FALSE POSITIVE,0,45.1178526,3.737,389.2,2.78,517.0,16.87,0.97,17.3,5585.0,4.339,1.038
K03105.01,CANDIDATE,1,4.21223579,7.898,116.4,1.04,887.0,146.4,0.97,12.8,5116.0,4.591,0.7
K03106.01,CONFIRMED,2,0.968980781,1.517,118.5,1.08,1844.0,2730.51,0.065,12.8,5866.0,4.473,1.0
K03107.01,FALSE POSITIVE,0,8.589562,9.885,245.4,15.95,891.0,148.61,1.138,14.0,5766.0,4.404,0.945
K03108.01,CONFIRMED,2,7.36272124,1.3287,429.3,1.86,901.0,155.72,0.253,17.8,5868.0,4.53,0.894
K00315.01,CONFIRMED,2,35.58349688,3.9885,937.6,2.03,408.0,6.54,0.001,90.8,4894.0,4.637,0.684
K03109.01,CONFIRMED,2,10.6761592,4.594,151.0,1.79,1049.0,285.79,0.403,14.1,6460.0,4.267,1.434
K03110.01,CONFIRMED,2,4.48494315,2.752,134.9,1.23,1199.0,488.22,0.3,12.4,6217.0,4.437,1.051
K03223.01,FALSE POSITIVE,0,0.962825082,2.8464,118.1,5.18,3265.0,26811.24,0.088,40.7,4898.0,3.212,4.928
K03224.01,CANDIDATE,1,3.43861067,1.264,46.8,1.01,1348.0,779.48,0.629,9.5,5383.0,4.112,1.401
K03225.01,CANDIDATE,1,4.8754765,1.902,39.6,0.8,1180.0,458.62,0.084,8.8,5513.0,4.179,1.286
K03226.01,CANDIDATE,1,4.29388808,3.618,110.6,1.68,1532.0,1302.16,0.272,17.9,6615.0,4.173,1.574
K00321.02,CONFIRMED,2,4.62334491,3.0189,62.0,0.77,1050.0,287.25,0.388,25.2,5678.0,4.484,0.97
K03226.02,CANDIDATE,1,6.93650854,3.674,88.7,1.51,1305.0,687.21,0.331,11.3,6615.0,4.173,1.574
K03227.01,FALSE POSITIVE,0,2.42649862,2.014,29.2,0.75,1638.0,1705.27,0.673,15.2,6033.0,4.176,1.316
K03322.01,FALSE POSITIVE,0,25.19830439,5.1942,73834.2,46.14,604.0,31.54,1.069,1669.4,5955.0,4.534,0.883
K03323.01,CANDIDATE,1,14.3196417,3.781,215.5,2.06,850.0,123.37,0.533,12.5,5562.0,4.151,1.373
K03324.01,CONFIRMED,2,21.8634638,3.542,871.0,2.37,551.0,21.77,0.502,9.9,5383.0,4.587,0.789
K00329.01,FALSE POSITIVE,0,8.58969597,8.471,245.1,20.8,882.0,143.02,1.197,45.9,6024.0,4.523,0.9
K03325.01,FALSE POSITIVE,0,86.4392931,6.534,1175.1,35.31,442.0,8.99,1.28,20.5,6208.0,4.454,1.024
